link,Nome,Pontuação,Avaliações,somelier,tipo,origem,Vinícola,Teor Alcoólico,Amadurecimento,Safra,Classificação,Visual,Olfativo,Gustativo,Temperatura de serviço,Potencial de guarda,Harmonização
https://wine.com.br/vinhos/latitud-33-malbec-2018/prod22749.html,Latitud 33° Malbec 2018,4.0,9,"O nome Latitud 33º faz referência à latitude, no Hemisfério do Sul, onde se localizam os vinhedos que dão origem a este vinho. Com um breve amadurecimento em barricas de carvalho, este tinto que traz a uva emblemática da Argentina, é muito agradável no paladar e fácil de combinar com receitas cotidianas.",Tinto,Argentina-Mendoza,Chandon Argentina,14.00% ABV,3 meses em barricas de carvalho francês e americano.,2018,Seco,Rubi,"Ameixa, cereja, framboesa, especiarias","Frutado, bom corpo, taninos macios, acidez agradável",15 °C,5 anos,"Fraldinha assada, vaca atolada, penne à bolonhesa, empanada de carne, lasanha de berinjela, queijos semiduros."
https://wine.com.br/vinhos/la-mora-d-o-c-g-morellino-di-scansano-2018/prod22761.html,La Mora D.O.C.G. Morellino di Scansano 2018,4.5,3,"Tinto com aromas de frutas vermelhas maduras, com toque floral e notas de especiarias, como noz-moscada. No paladar, possui médio corpo, é frutado, de taninos macios, com boa acidez, notas florais e toque de especiarias. Morellino Di Scansano, de estilo moderno, é elaborado majoritariamente com a tinta representativa da região, a Sangiovese, e é um exemplar que revela toda a expertise da Cecchi em elaborar vinhos italianos. Premiado com medalha de ouro no concurso Berliner Wein Trophy, e medalha de prata no Mundus Vini.",Tinto,Itália-Maremma Toscana,Cecchi,13.00% ABV,"2 meses em garrafas, nas caves.",2018,Seco,Rubi,"Frutas vermelhas maduras, floral, especiarias","Médio corpo, frutado, taninos macios, boa acidez, floral, especiarias",15 °C,5 anos,"Massa à bolonhesa, carne assada, nhoque ao ragu de cogumelos, pizzas variadas, tian de berinjela, galinhada."
https://wine.com.br/vinhos/desafinado-doc-douro-2017/prod22902.html,Desafinado DOC Douro 2017,4.0,22,"Elaborado no aclamado terroir do Douro, este tinto mescla algumas das mais tradicionais uvas portuguesas. O amadurecimento em barricas de carvalho agregou mais complexidade aos aromas e sabores deste vinho.",Tinto,Portugal-Douro,Parras Wine,13.50% ABV,8 meses em barricas de carvalho francês.,2017,Seco,Rubi,"Especiarias, frutas vermelhas maduras","Corpo médio p/ encorpado, acidez agradável, taninos macios",15 °C,5 anos,"Churrasco, filé com risoto, hambúrguer, legumes grelhados, queijos, massas."
https://wine.com.br/vinhos/estrella-de-pascua-sauvignon-blanc-2019/prod22848.html,Estrella de Pascua Sauvignon Blanc 2019,,,"Para ser apreciado sozinho ou junto com alguma receita, que pode ser desde um petisco até um prato principal do dia a dia, este branco é leve e muito frutado. O delicado toque herbáceo é característico desta uva quando cultivada no Chile.",Branco,,Viña Maipo,12.00% ABV,Em tanques de aço inox. ,2019,Meio Seco/Demi-Sec,Amarelo-claro,"Frutas amarelas, frutas brancas, herbáceo","Leve, acidez agradável",9 °C,3 anos,"Espetinho de camarão, frango grelhado com legumes, salada com lascas de bacalhau, tabule, quiche de alho poró, espaguete ao molho branco. "
https://wine.com.br/vinhos/salton-classic-chardonnay-2016/prod22863.html,Salton Classic Chardonnay 2016,4.5,4,"Elaborado 100% com uvas da variedade Chardonnay selecionadas no vinhedo. Fermenta em tanques de aço inox, com controle de temperatura. Coloração amarela clara, com leves reflexos esverdeados. Aromas de frutas maduras, como pêssego amarelo, maçã e damasco, além de toques de ervas. Em boca é leve e refrescante, com uma equilibrada acidez.",Branco,Brasil-Serra Gaúcha,Vinícola Salton,12.00% ABV,"20% do vinho possui leve passagem por barricas de carvalho norte-americanos, e 80% do vinho foi fermentado e conservado em tanques de aço inoxidável. ",2016,Seco,Amarelo-claro com reflexos esverdeados,"Maçã, manteiga, cítrico, limão e mel","Untuoso, frutado e elegante",9 °C,4 anos,"Carnes brancas (peixes ou frango), frutos do mar, massas com molho suave e queijos leves."
https://wine.com.br/vinhos/espumante-series-by-salton-moscatel/prod22774.html,Espumante Séries By Salton Moscatel,5.0,2,"Elaborado 100% com uvas Moscato, o vinho é fermentado pela segunda vez em tanques herméticos por um mês, com temperatura controlada. Durante o processo, a fermentação é interrompida para manter a doçura natural da uva. Apresenta aromas com notas frutadas de pêssego, limão, abacaxi, lichia e notas florais de rosas, jasmim e flor de laranjeira. Seu paladar é agradável, apresentando perfeito equilíbrio entre a acidez e o açúcar.",,,Vinícola Salton,,,,,,,,,,
https://wine.com.br/vinhos/clos-dalian-d-o-terra-alta-garnacha-tinta-2017/prod22802.html,Clos Dalian D.O. Terra Alta Garnacha Tinta 2017,4.0,205,"A safra 2017 em Terra Alta foi considerada muito boa, o verão foi bastante quente, que ajudou na maturação das uvas. Devido às altas temperaturas, o rendimento foi menor do que o habitual, que garantiu às uvas uma excelente qualidade. Esse tinto elaborado com a Garnacha, sem amadurecimento em carvalho, expressa o caráter do terroir de origem.",Tinto,Espanha-Terra Alta,Cellers Unió,13.00% ABV,Em tanques de aço inox.,2017,Seco,Rubi,Frutas vermelhas maduras,"Jovem, frutado, leve, fácil de beber, boa acidez, taninos macios",15 °C,4 anos,"Queijo Manchego, esfirra de carne, yakissoba de carne, linguiças assadas, bauru de forno, escondidinho vegetariano"
https://wine.com.br/vinhos/nato-sauvignon-blanc-2018/prod22743.html,Nato Sauvignon Blanc 2018,4.0,34,"Sabor fresco, com aroma de frutas cítricas e tropicais e de acidez equilibrada. Perfeito para acompanhar frutos do mar e saladas.",Branco,,VyF Wines,12.50% ABV,4 meses sobre as borras.,2018,Seco,Amarelo-claro,"Frutas cítricas, frutas tropicais","Leve, boa acidez, frutado, fácil de beber",7 °C,2 anos,"Frutos do mar, peixes e saladas"
https://wine.com.br/vinhos/alfacinha-rl-branco-2018/prod22901.html,Alfacinha RL Branco 2018,4.0,25,"""Alfacinha” nasce para homenagear as tradições populares de Lisboa Antes de ser um vinho é uma alcunha que surge em meados do século XIX, na prestigiada obra “Viagens na Minha Terra” de Almeida Garrett, e que hoje é reconhecida em qualquer parte do mundo.
Um néctar que durante a prova nos transporta numa viagem dentro de um típico elétrico amarelo, pelas ruas íngremes da capital portuguesa.",Branco,Portugal-Lisboa,Parras Wine,12.00% ABV,,2018,Seco,Amarelo-claro com reflexos esverdeados,Flores brancas e frutas cítricas,"Boa acidez, equilibrado, final agradável",8 °C,2 anos,"Peixes, saladas, quiche de palmito, salada caprese, ceviche"
https://wine.com.br/vinhos/latitud-33-cabernet-sauvignon-2018/prod22925.html,Latitud 33° Cabernet Sauvignon 2018,4.0,5,"Esse exemplar vem de vinhedos localizados exatamente na latitude 33º do Hemisfério Sul. Região única que une solo, clima e a água de alta pureza proveniente da Cordilheira dos Andes. A uva desse exemplar é a Cabernet Sauvignon que tem mostrado seu potencial em solo argentino, ano após ano.",Tinto,Argentina-Mendoza,Terrazas de los Andes,14.50% ABV,50% do vinho passou de 3 a 4 meses em barricas de carvalho francês e americano.,2018,Seco,Rubi,"Frutas vermelhas, frutas negras, especiarias, herbáceo","Corpo de leve para médio, taninos macios, boa acidez, final agradável",15 °C,4 anos,"Fraldinha na brasa, lasanha à bolonhesa, pizzas variadas, filé com fritas, pimentão recheado, queijos semi-duros."
https://wine.com.br/vinhos/cloudy-bay-pinot-noir-2014/prod22924.html,Cloudy Bay Pinot Noir 2014,,,"Produzido pela mítica Cloudy Bay, uma referência em vitivinicultura na Nova Zelândia, este rótulo traz a expressão da Pinot Noir cultivada no terroir de Marlborough. O amadurecimento em barricas de carvalho francês, agregou ainda mais complexidade a este tinto.",Tinto,,Cloudy Bay,13.50% ABV,12 meses em barricas de carvalho francês.,2014,Seco,Rubi,"Ameixa madura, cereja negra, mirtilo, violeta, especiarias, tosta","Frutado, boa acidez, médio corpo, taninos macios",15 °C,6 anos,"Cogumelos na gratinados, codorna recheada, atum em crosta de quinoa, presunto cru na ciabatta, talharim ao pomodoro, mignon com legumes assados."
https://wine.com.br/vinhos/perdigon-malbec-2018/prod22933.html,Perdigón Malbec 2018,4.5,82,"O enólogo da Las Perdices, Juan Carlos Muñoz, é filho do fundador da vinícola, Don Juan Muñoz Lopes. A sua filosofia de produção combina a mão do homem com o cuidado especial com a uva, priorizando o respeito pelo ambiente. O foco é a tipicidade dos vinhos, que expressam todo o potencial das uvas em seu terroir.
Vinho macio, sedoso no paladar e suculento!",Tinto,Argentina-Mendoza,Viña Las Perdices,14.00% ABV,6 meses em madeira. Carvalho francês e americano.,2018,Seco,Rubi,"Frutas vermelhas e negras, ameixa, amora","Taninos macios, equilibrado, final persistente",15 °C,5 anos,"Churrasco, filé com polenta, pizza de calabresa, risoto de shimeji."
https://wine.com.br/vinhos/mad-chief-chardonnay-2018/prod22742.html,Mad Chief Chardonnay 2018,4.0,38,"Vinho delicado e refrescante!
A colheita à noite, em temperatura mais baixa para garantir a qualidade das uvas.
Até o rótulo é inovador! Perfeito para beber como um aperitivo ou para harmonizar com pratos leves.",Branco,,VyF Wines,,Em tanques de inox com suas borras por 3 meses,2018,Seco,Amarelo claro,"Frutas tropicais, abacaxi, manga e papaya","Delicado, corpo médio, boa acidez",8 °C,3 anos,"Saladas, massas, peixes, e até sobremesas refrescantes de frutas como um sorbet."
https://wine.com.br/vinhos/tradicao-2017/prod22881.html,Tradição 2017,4.5,12,"Proveniente de vinhas da região de Lisboa, situadas a 35 km do Oceano Atlântico, com clima temperado úmido e estação seca no verão. Percebe-se no Tradição uma importante influência atlântica. Um vinho de encorpado e acidez fresca.",Tinto,Portugal-Lisboa,Companhia das Quintas,12.00% ABV,Estagiou parcialmente em carvalho francês,2017,Seco,Rubi,Frutas vermelhas e especiarias,"Jovem, intenso e saboroso",16 °C,4 anos,"Frango assado, queijos, escalope de foie gras com uvas, risoto com lingüiça, talharim com molho de carne bolonhesa bolognesa e Iscas de filé."
https://wine.com.br/vinhos/urmeneta-chardonnay-2019/prod22990.html,Urmeneta Chardonnay 2019,4.0,24,"Elaborado com a Chardonnay, considerada a rainha das uvas brancas, esse rótulo é indicado para o dia a dia e para aqueles que estão iniciando no mundo do vinho. Com um estilo fácil de beber e de harmonizar, agrada aos mais diversos paladares.",Branco,,Urmeneta,13.00% ABV,,2019,Seco,Amarelo-palha,"Abacaxi, frutas brancas","Leve, acidez presente, frutado",9 °C,4 anos,"Empada de palmito, peixe frito com fritas, salada grega, legumes na grelha, quiche de sardinha, bruschetta de ricota com tomate."
https://wine.com.br/vinhos/alfacinha-rl-2018/prod22900.html,Alfacinha RL 2018,4.0,69,"Alfacinha” nasce para homenagear as tradições populares de Lisboa Antes de ser um vinho é uma alcunha que surge em meados do século XIX, na prestigiada obra “Viagens na Minha Terra” de Almeida Garrett, e que hoje é reconhecida em qualquer parte do mundo.
Um néctar que durante a prova nos transporta numa viagem dentro de um típico elétrico amarelo, pelas ruas íngremes da capital portuguesa, marcadas pela calçada irregular.",Tinto,Portugal-Lisboa,Parras Wine,13.00% ABV,,2018,Meio Seco/Demi-Sec,Rubi,Frutas vermelhas,"Elegante, acidez equilibrada, taninos maduros",15 °C,4 anos,"Pizza, queijos suaves, carnes, comida asiática."
https://wine.com.br/vinhos/terrazas-de-los-andes-single-vineyard-las-compuertas-malbec-2014/prod22926.html,Terrazas de Los Andes Single Vineyard Las Compuertas Malbec 2014,,,"Este pontuado tinto é elaborado com uvas Malbec de um único vinhedo, o Las Compuertas, localizado a 1067 metros de altitude, aos pés da Cordilhera do Andes. As vinhas deste vinhedo foram plantadas em 1929, e são provenientes de mudas pré-filoxera, originárias da região de Bordeaux, França. Trata-se de um vinho de alta estirpe, que revela a mais fina expressão do terroir de altitude da região argentina de Mendoza. Recebeu 94 pontos de James Suckling e 92 pontos de Tim Atkin.",Tinto,Argentina-Mendoza,Terrazas de los Andes,14.50% ABV,"18 meses em barricas novas de carvalho francês, mais 24 meses em garrafa.",2014,Seco,Rubi,"Mirtilo, ameixa, geleia de frutas vermelhas, pimenta-do-reino, canela, amadeirado","Potente, complexo, taninos presentes, acidez agradável, final longo",16 °C,20 anos,"Bife ancho com batatas rústicas, risoto de funghi secchi, ravióli de mignon ao molho sugo, costeleta suína com purê de mandioquinha, picanha na brasa, queijos duros."
https://wine.com.br/vinhos/farizoa-3-castas-tinto-2018/prod22879.html,Farizoa 3 Castas tinto 2018,4.5,8,"O aroma encanta pelas frutas negras maduras, com notas de ameixa, figo e chocolate. Já o paladar confirma as notas aromáticas, é elegante e com taninos macios. A Herdade da Farizoa se localiza na sub-região de Borba, no Alentejo, onde o clima é marcado por primaveras e verões muito quentes, baixo nível de chuva e o sol é uma constante, fatores que contribuem para uma perfeita maturação das uvas, que somada à expertise do enólogo Joaquim Mendes dão um belo resultado.",Tinto,Portugal-Alentejo,Herdade da Farizoa,14.00% ABV,6 meses em barricas de carvalho francês,2018,Seco,Rubi intenso,"Frutas negras maduras, com notas de ameixa, figo e chocolate","Confirma as notas aromáticas, é elegante e com taninos macios",15 °C,6 anos,"Fraldinha na brasa, pizza de calabresa, bolinho de carne seca, cupim assado, risoto de queijo, vaca a tolada."
https://wine.com.br/vinhos/lidio-carraro-dadivas-chardonnay-2017/prod23031.html,Lidio Carraro Dádivas Chardonnay 2017,5.0,1,"Um Chardonnay brasileiro de respeito! Mostra notas de frutas tropicais como melão, abacaxi e maracujá, com frescor e corpo para deixar o paladar envolvente.",Branco,Brasil-Encruzilhada do Sul ,Lidio Carraro,13.50% ABV,10 meses sobre as borras finas em tanques de inox,2017,Seco,Amarelo palha,Flores brancas e frutas tropicais,"Encorpado, untuoso e equilibrado",,4 anos,"Frutos do mar, carnes brancas, massas e saladas"
https://wine.com.br/vinhos/estrella-de-pascua-syrah-2018/prod22912.html,Estrella de Pascua Syrah 2018,,,,,,Wine.com.br,,,,,,,,,,
https://wine.com.br/vinhos/familia-toro-loco/prod22872.html,Família Toro Loco,5.0,1,Nesse kit especial com a família mais buscada na Wine você encontra os exemplares que farão você aproveitar a experiência de alguns dos rótulos Toro Loco e entender por qual motivo estão entre os vinhos mais vendidos. Não perca essa oportunidade!,,,BVC Bodegas,,,,,,,,,,
https://wine.com.br/vinhos/trapiche-vineyards-cabernet-sauvignon-2018/prod23010.html,Trapiche Vineyards Cabernet Sauvignon 2018,,,"A Trapiche é reconhecida mundialmente pelos seus vinhos para o dia a dia e suas linhas Premium. A vinícola é exportada para mais de 85 países e possui mais de 391 prêmios. Este exemplar é um varietal da uva Cabernet Sauvignon, que passa curto período em barricas de carvalho, e é ideal para harmonizar com comidas cotidianas",Tinto,Argentina-Mendoza,Trapiche,13.00% ABV,Breve passagem por barricas de carvalho.,2018,Meio Seco/Demi-Sec,Rubi,"Frutas negras, herbáceo, baunilha","Corpo de leve para médio, taninos macios, boa acidez",15 °C,4 anos,"Pizza de calabresa, kibe frito, alcatra com fritas, mix de queijos, cogumelo recheado com queijo, estrogonofe de carne."
https://wine.com.br/vinhos/casa-valduga-naturelle-rose-suave-2019/prod23027.html,Casa Valduga Naturelle Rosé Suave 2019,,,"Naturelle é uma linha da Casa Valduga que traz rótulos com o paladar adocicado. Devido ao estilo leve e fácil de beber, é ideal para quem está iniciando no mundo do vinho. Descomplicado, pode ser apreciado sozinho.",Rosé,Brasil-Vale dos Vinhedos,Casa Valduga,10.00% ABV,Não passa por amadurecimento.,2019,Suave/Doce,Cereja claro,"Framboesa, cereja, morango, floral","Leve, fresco, doce, sutilmente gasoso",9 °C,2 anos,"Torta gelada de frutas vermelhas, petiscos agridoces, cheesecake com calda de morango, salada de frutas, bolo de cereja, queijos azuis."
https://wine.com.br/vinhos/ti-rita-colheita-2018/prod22994.html,Ti Rita Colheita 2018,3.5,3,"A Indicação Geográfica Lisboa é uma das mais importantes regiões portuguesas, em termos de área de vinha e produção de vinho. Formada por suaves colinas, de relevo pouco acentuado, a IG Lisboa estende-se desde a capital de Portugal para norte, até Pombal, sempre ao longo do litoral.
Nascida num bairro típico da cidade de Lisboa, desde cedo Ti Rita percorre as suas ruas e ruelas.",Tinto,Portugal-Lisboa,Parras Wine,13.00% ABV,Em tanques de aço inox.,2018,Meio Seco/Demi-Sec,Rubi,Frutas vermelhas e negras,"Suculento, taninos aveludados",18 °C,4 anos,"Frango assado, queijos, escalope de foie gras com uvas, risoto com lingüiça, talharim com molho de carne bolonhesa bolognesa e Iscas de filé"
